HIP,RAICRS,DEICRS,Vmag,Plx,pmRA,pmDE,BV
7213,23.23355059,-36.86518161,5.49,12.29,0.09,-20.33,1.021
7251,23.35711597,58.32734523,5.69,1.67,3.78,-4.66,1.435
7276,23.42805448,-7.02514279,5.75,33.71,176.82,-81.49,0.639
7294,23.48302496,59.23209665,4.68,15.96,-43.06,-23.18,0.991
7321,23.56915511,37.23719753,5.90,8.32,12.62,-21.00,-0.067
7345,23.65717247,-15.67635270,5.62,16.32,94.70,-2.67,0.066
7359,23.70436400,18.46067238,5.90,5.46,30.10,-65.92,1.536
7447,23.97777176,17.43378965,5.95,16.75,149.18,21.16,0.259
7450,23.99565496,-15.40021584,5.41,5.94,19.14,13.53,1.226
7463,24.03512124,-29.90743360,5.69,16.13,119.68,47.98,0.335
7513,24.19990413,41.40638491,4.10,74.25,-172.57,-381.01,0.536
7535,24.27483902,12.14151058,5.54,29.58,-74.90,9.96,0.347
7568,24.36574940,-84.76965017,5.66,8.94,34.69,23.45,0.939
7588,24.42813204,-57.23666007,0.45,22.68,88.02,-40.08,-0.158
7601,24.47908355,-82.97528876,5.88,36.86,122.30,120.70,0.620
7607,24.49792651,48.62848641,3.59,18.76,60.90,-112.42,1.275
7617,24.53151544,57.97764488,5.55,2.86,2.98,-5.54,1.388
7643,24.61455891,-36.52795330,5.94,10.10,-13.27,-122.36,1.045
7650,24.62892127,73.04007203,5.28,7.30,-11.81,-13.23,0.972
7679,24.71544923,-21.27547447,5.58,14.21,129.52,37.13,0.346
7719,24.83757938,44.38612827,5.01,13.46,-20.49,14.95,0.883
7740,24.91986640,16.40588595,5.98,7.18,82.41,-11.56,1.119
7751,24.94684603,-56.19644067,5.76,122.75,286.10,16.66,0.880
7818,25.14501739,40.57710624,4.96,4.79,16.67,-23.50,-0.068
7825,25.16483499,43.29776385,5.63,12.15,111.06,-31.65,0.214
7884,25.35794814,5.48760445,4.45,8.86,-22.73,3.61,1.347
7906,25.41350900,30.04713542,5.97,6.23,-8.10,-6.50,1.015
7916,25.43665870,-11.32366816,5.75,26.83,60.10,-411.71,0.443
7918,25.44381547,42.61380692,4.96,79.09,791.35,-180.16,0.618
7921,25.44980076,-60.78924102,5.70,8.79,12.81,-40.52,1.264
7941,25.51256331,-36.83226421,5.70,10.71,-29.32,-16.70,-0.010
7943,25.51439571,35.24576705,5.63,12.61,49.41,-24.67,-0.059
7955,25.53602338,-32.32685759,5.25,15.02,-74.79,-46.35,1.044
7965,25.58518510,68.04304624,5.57,7.34,53.08,-10.34,-0.049
7978,25.62146258,-53.74057470,5.52,57.63,166.97,-106.71,0.551
7981,25.62479083,20.27015091,5.24,133.91,-302.12,-677.40,0.836
7999,25.68132047,-3.69011692,4.98,2.71,-11.67,-34.38,1.378
8016,25.73220374,70.62255881,5.18,11.62,76.62,-13.62,-0.022
8046,25.83223958,60.55137091,5.78,3.57,13.57,-15.78,-0.010
8068,25.91506370,50.68876550,4.01,4.55,24.08,-13.59,-0.098
8102,26.02136441,-15.93955597,3.49,274.17,-1721.82,854.07,0.727
8198,26.34828629,9.15764102,4.26,12.63,70.82,38.99,0.942
8209,26.41106016,-25.05243403,5.29,36.46,159.48,-72.38,0.395
8230,26.49694074,-5.73322696,5.37,6.40,-9.09,-29.69,1.517
