ra,dec,z
242.91995,0.32597,0.04395
168.86029,0.26984,0.04395
242.50634,0.86074,0.04395
223.42968,0.03929,0.04396
223.72138,0.64041,0.04398
226.80302,-0.95977,0.04401
226.76803,-1.30082,0.04405
152.67124,-1.02125,0.04429
245.68349,-0.68149,0.04429
174.41350,-0.81512,0.04430
165.36338,-0.71831,0.04432
152.50795,1.19919,0.04437
223.08322,-0.22583,0.04446
153.16802,-1.06167,0.04451
223.81388,1.45795,0.04453
151.17015,0.36990,0.04459
150.61834,0.80120,0.04461
245.47604,-0.85993,0.04462
223.98753,0.90216,0.04465
150.54143,-0.18924,0.04471
223.40848,0.02098,0.04478
211.31529,0.53832,0.04481
189.21411,0.91526,0.04486
151.12187,-0.24098,0.04486
152.52353,1.22090,0.04487
153.50979,-0.89166,0.04487
245.62416,-0.44122,0.04490
153.81368,-0.60265,0.04499
243.81302,1.13363,0.04500
151.62478,1.06992,0.04505
245.45812,-0.52792,0.04510
151.99267,1.26899,0.04516
150.51385,-0.21380,0.04516
154.09520,-1.07339,0.04518
223.42862,0.03009,0.04518
170.26935,-0.81285,0.04521
151.56922,1.23947,0.04525
245.29564,-0.39666,0.04527
150.91993,1.20949,0.04537
153.34833,-0.89277,0.04542
200.64536,-0.67976,0.04545
153.93947,0.27631,0.04547
150.96664,1.09526,0.04558
151.62786,1.14114,0.04560
151.61280,0.96482,0.04561
245.41766,-0.85561,0.04565
152.37688,-0.33389,0.04566
169.05027,1.23849,0.04570
145.59403,0.30938,0.04571
150.24791,0.30668,0.04573
150.91178,-0.86714,0.04575
151.56104,-0.98273,0.04583
151.17115,0.91422,0.04583
189.74919,1.25205,0.04588
143.61184,1.19777,0.04593
246.54901,-0.66054,0.04596
153.54002,-0.86836,0.04597
152.74167,-0.50283,0.04600
151.70223,0.80701,0.04605
162.01346,0.56692,0.04607
236.81042,0.03814,0.04610
168.95747,0.99311,0.04612
150.23189,-0.27778,0.04613
202.22295,-0.32267,0.04614
151.05978,0.50810,0.04614
150.14646,1.24244,0.04615
166.40683,-0.84813,0.04616
149.13964,0.75088,0.04617
173.35782,-1.27270,0.04619
149.77966,0.01068,0.04625
212.66107,1.42495,0.04627
174.79937,-0.95818,0.04632
149.77315,1.20493,0.04632
213.15057,1.05788,0.04634
149.37023,0.58818,0.04639
174.36443,-0.84655,0.04640
173.70481,-1.06331,0.04641
246.01654,-0.76386,0.04644
196.13229,1.15712,0.04645
148.82567,0.38932,0.04647
153.45428,-0.65928,0.04647
148.59859,-0.73223,0.04656
162.75975,0.53149,0.04658
150.99420,0.73665,0.04660
154.60982,0.27063,0.04660
197.94439,0.99018,0.04661
151.11289,0.52401,0.04661
247.91576,-0.16169,0.04667
173.44279,-1.39149,0.04667
204.97454,-0.95473,0.04669
179.34814,0.48300,0.04673
247.96679,-0.09078,0.04673
172.92275,-1.39383,0.04673
150.03877,0.19702,0.04675
204.75299,1.45906,0.04678
213.12388,1.13039,0.04678
169.58289,1.25946,0.04681
169.55345,1.25690,0.04683
177.79223,0.11445,0.04685
145.64953,1.49739,0.04687
176.13659,-0.28875,0.04689
151.62151,-0.96987,0.04692
199.99599,-0.02961,0.04693
157.99322,-0.77789,0.04695
201.91456,0.32171,0.04695
160.81279,0.22059,0.04697
182.83896,1.06361,0.04697
194.35625,-0.57320,0.04699
194.72330,-0.72235,0.04702
154.82788,-0.40688,0.04709
177.26629,1.07847,0.04709
154.86427,-0.03453,0.04714
153.53958,-0.89842,0.04716
199.66978,-0.82295,0.04720
149.00576,0.35802,0.04721
150.55699,-1.13981,0.04723
192.68539,0.40539,0.04726
177.16846,-0.28620,0.04734
201.28137,0.91589,0.04734
201.77987,0.96971,0.04734
154.75668,-1.21695,0.04735
191.62915,0.42458,0.04735
191.21264,-1.48798,0.04737
178.80180,1.29224,0.04738
193.42770,-0.56648,0.04739
154.75502,-1.24354,0.04739
177.30345,-0.56447,0.04739
191.50576,-1.07320,0.04741
178.00822,0.94224,0.04742
173.58453,-1.34885,0.04743
200.52400,0.72218,0.04751
168.65974,-0.61047,0.04754
148.81045,0.61290,0.04755
192.73096,-1.48978,0.04755
199.67907,-0.17890,0.04758
211.71577,0.85014,0.04759
177.55191,-0.46261,0.04761
193.21424,-0.32180,0.04761
193.90940,-0.95823,0.04762
190.65078,-0.74447,0.04762
193.46502,1.36857,0.04762
211.39751,0.18499,0.04767
245.27100,0.89748,0.04768
199.90518,0.84554,0.04769
177.15681,-0.23406,0.04780
247.05739,-0.26790,0.04781
183.15426,1.33506,0.04782
199.65664,-0.22689,0.04782
200.22770,-0.94120,0.04783
199.18202,-0.95743,0.04784
